City,Last 24 hrs,July-May 2012,July-May 2011,Normal,Percent of norm
 Crescent City,0,57.76,93,63.24,102
 Eureka,0,38.79,98,43.36,110
 Ukiah,0,25.59,69,39.71,108
 Redding,0,22.8,68,33.96,101
 Sacramento Exec Airport,0,12.18,67,22.39,123
 Santa Rosa,0,23.23,65,39.48,110
 San Francisco,0,15.6,67,26.53,113
 SFO Int'l Airport,0,13.24,65,21.42,104
 Oakland Airport,0,14.92,73,20.65,100
 Livermore,0,8.9,57,14.68,94
 Mountain View - Moffett,0,7.2,49,13.75,95
 San Jose,0,6.94,47,14.07,95
 Stockton,0,8.03,58,15.33,110
 Modesto,0,8.63,67,13.84,107
 Merced,0,7.03,57,14.74,119
 Madera,0,7.87,67,12.96,110
 Fresno,0,8.15,72,15.59,139
 Hanford,0,5.82,59,12.53,126
 Bakersfield,0,4.93,77,10.14,159
 Salinas,0,10.26,81,15.22,120
 Paso Robles,0,8.68,68,17.24,135
 Santa Maria,0,9.7,70,22.84,164
 Sandberg,0,6.77,55,13.88,113
 Palmdale,0,3.72,45,7.73,94
 Lancaster,0,3.05,42,9.87,135
 Santa Barbara,0,11.66,66,27.19,154
 Camarillo,0,8.71,57,21.5,142
 Burbank - Bob Hope,0,8.77,51,19.72,115
 LAX Int'l Airport,0,7.61,60,17.83,140
 Los Angeles / USC,0,8.69,59,20.19,136
 Long Beach,0,7.57,62,18.72,154
 Fullerton,0,6.2,45,17,123
 Irvine - John Wayne,0,6.32,48,18,136
 Oceanside,0,8.65,64,21.27,157
 Ramona,0,11.47,72,24.13,152
 San Diego - Lindbergh,0,8.03,78,12.5,122
 Ontario,0,9.12,61,16.44,110
 Riverside,0,5.53,45,12.16,99
 Palm Springs,0,2.27,40,5.74,101
 Thermal,0,1.35,42,2.16,68
 Campo,0,11.29,72,17.66,113
